2022-05-07 22:44:45,056 [MainThread  ] [INFO ]  Evaluations: 4. fitness: [103803201.08333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '07:30:00', '08:40:00', '17:10:00', '18:40:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:45,506 [MainThread  ] [INFO ]  Evaluations: 5. fitness: [107772232.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:45,614 [MainThread  ] [INFO ]  Evaluations: 5. fitness: [109063741.58333331], solution: TimePeriodSolution({99: ['05:00:00', '06:50:00', '08:00:00', '09:50:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:45,625 [MainThread  ] [INFO ]  Evaluations: 5. fitness: [107772232.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:10:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:45,660 [MainThread  ] [INFO ]  Evaluations: 5. fitness: [108897987.33333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:50:00', '17:10:00', '18:40:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:45,679 [MainThread  ] [INFO ]  Evaluations: 5. fitness: [106404572.83333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '07:50:00', '09:00:00', '17:30:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:45,702 [MainThread  ] [INFO ]  Evaluations: 5. fitness: [106044243.08333331], solution: TimePeriodSolution({99: ['05:00:00', '06:10:00', '07:50:00', '09:20:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:45,810 [MainThread  ] [INFO ]  Evaluations: 5. fitness: [108051538.58333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '08:00:00', '09:00:00', '17:10:00', '19:00:00', '20:20:00', '25:00:00']})
2022-05-07 22:44:45,825 [MainThread  ] [INFO ]  Evaluations: 5. fitness: [108817163.08333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '17:20:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:45,830 [MainThread  ] [INFO ]  Evaluations: 5. fitness: [106343074.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:40:00', '07:50:00', '09:00:00', '17:10:00', '19:00:00', '20:10:00', '25:00:00']})
2022-05-07 22:44:45,910 [MainThread  ] [INFO ]  Evaluations: 5. fitness: [103710303.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:10:00', '07:30:00', '09:00:00', '17:30:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:45,930 [MainThread  ] [INFO ]  Evaluations: 5. fitness: [108746723.08333331], solution: TimePeriodSolution({99: ['05:00:00', '07:00:00', '08:00:00', '09:00:00', '17:10:00', '19:00:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:45,944 [MainThread  ] [INFO ]  Evaluations: 5. fitness: [103803201.08333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '07:30:00', '08:40:00', '17:10:00', '18:40:00', '20:00:00', '25:00:00']})
2022-05-07 22:44:46,366 [MainThread  ] [INFO ]  Evaluations: 6. fitness: [107772232.33333331], solution: TimePeriodSolution({99: ['05:00:00', '06:20:00', '08:00:00', '09:00:00', '18:00:00', '19:00:00', '20:00:00', '25:00:00']})
